model,group,kind,n_samples,n_runs,error_rate_zero,error_rate_gaussian,kl_mean_zero,kl_median_zero,kl_mean_gaussian,kl_median_gaussian
starcoder2-3B,top200,overall,327,1,0.039755351681957186,0.3211009174311927,0.5744477512210387,0.04771039532272104,2.5731584796116125,0.7789058682048807
starcoder2-3B,random200,overall,3270,10,0.00764525993883792,0.05137614678899083,0.07595005852297113,0.00046064265874149574,0.42930216014031536,0.04436561765567339
starcoder2-3B,random200,run_avg,3270,10,0.00764525993883792,0.05137614678899083,0.07595005852297113,,0.42930216014031536,
starcoder2-7B,top200,overall,293,1,0.10238907849829351,0.11604095563139932,0.17461956438115736,0.01429181390883572,0.49876707765029527,0.06808078901216452
starcoder2-7B,random200,overall,2930,10,0.008191126279863481,0.059726962457337884,0.031586003995750025,0.00017765452096939335,0.16603182955545104,0.011093269528310794
starcoder2-7B,random200,run_avg,2930,10,0.008191126279863481,0.059726962457337884,0.031586003995750025,,0.166031829555451,
starcoder2-15B,top200,overall,260,1,0.18461538461538463,0.18846153846153846,0.5077089070418805,0.059157210406456495,0.9124204460601343,0.16275707342716128
starcoder2-15B,random200,overall,2600,10,0.0038461538461538464,0.046153846153846156,0.010832148865832709,9.42536475142205e-05,0.07879443123219057,0.002626653914691403
starcoder2-15B,random200,run_avg,2600,10,0.0038461538461538464,0.046153846153846156,0.010832148865832709,,0.07879443123219057,
deepseek-coder-6.7B,top200,overall,83,1,0.03614457831325301,0.27710843373493976,1.0080926481948065,0.41415859668947896,0.46680276200934495,0.13830804539934488
deepseek-coder-6.7B,random200,overall,830,10,0.01927710843373494,0.07710843373493977,0.031043333692996642,0.0006855905696201161,0.07703595624298247,0.004380314076856597
deepseek-coder-6.7B,random200,run_avg,830,10,0.01927710843373494,0.07710843373493977,0.031043333692996642,,0.07703595624298247,
CodeLlama-7B,top200,overall,65,1,0.06153846153846154,0.09230769230769231,0.4304270262495253,0.02083119498827472,0.8588393503994871,0.041140181557381424
CodeLlama-7B,random200,overall,650,10,0.012307692307692308,0.024615384615384615,0.01694034578093461,0.00012992259636442614,0.06754765566962281,0.000888970558373832
CodeLlama-7B,random200,run_avg,650,10,0.012307692307692308,0.024615384615384615,0.01694034578093461,,0.06754765566962281,
