model,seed,layer,count
codellama-7b,matrix,2,3
codellama-7b,matrix,3,1
codellama-7b,matrix,4,2
codellama-7b,matrix,6,1
codellama-7b,matrix,7,1
codellama-7b,matrix,10,2
codellama-7b,matrix,11,1
codellama-7b,matrix,12,4
codellama-7b,matrix,13,5
codellama-7b,matrix,14,6
codellama-7b,matrix,15,3
codellama-7b,matrix,16,10
codellama-7b,matrix,17,5
codellama-7b,matrix,18,8
codellama-7b,matrix,19,7
codellama-7b,matrix,20,7
codellama-7b,matrix,21,6
codellama-7b,matrix,22,13
codellama-7b,matrix,23,8
codellama-7b,matrix,24,3
codellama-7b,matrix,25,8
codellama-7b,matrix,26,11
codellama-7b,matrix,27,9
codellama-7b,matrix,28,12
codellama-7b,matrix,29,5
codellama-7b,matrix,30,15
codellama-7b,matrix,31,44
deepseek-coder-6.7b-instruct,matrix,6,1
deepseek-coder-6.7b-instruct,matrix,7,2
deepseek-coder-6.7b-instruct,matrix,9,1
deepseek-coder-6.7b-instruct,matrix,10,1
deepseek-coder-6.7b-instruct,matrix,11,5
deepseek-coder-6.7b-instruct,matrix,12,8
deepseek-coder-6.7b-instruct,matrix,13,6
deepseek-coder-6.7b-instruct,matrix,14,8
deepseek-coder-6.7b-instruct,matrix,15,9
deepseek-coder-6.7b-instruct,matrix,16,4
deepseek-coder-6.7b-instruct,matrix,17,3
deepseek-coder-6.7b-instruct,matrix,18,4
deepseek-coder-6.7b-instruct,matrix,19,3
deepseek-coder-6.7b-instruct,matrix,20,3
deepseek-coder-6.7b-instruct,matrix,21,3
deepseek-coder-6.7b-instruct,matrix,22,2
deepseek-coder-6.7b-instruct,matrix,23,10
deepseek-coder-6.7b-instruct,matrix,24,4
deepseek-coder-6.7b-instruct,matrix,25,9
deepseek-coder-6.7b-instruct,matrix,26,8
deepseek-coder-6.7b-instruct,matrix,27,11
deepseek-coder-6.7b-instruct,matrix,28,10
deepseek-coder-6.7b-instruct,matrix,29,13
deepseek-coder-6.7b-instruct,matrix,30,26
deepseek-coder-6.7b-instruct,matrix,31,46
starcoder2-15b,matrix,1,4
starcoder2-15b,matrix,13,2
starcoder2-15b,matrix,14,26
starcoder2-15b,matrix,15,3
starcoder2-15b,matrix,17,2
starcoder2-15b,matrix,18,1
starcoder2-15b,matrix,19,1
starcoder2-15b,matrix,20,5
starcoder2-15b,matrix,21,5
starcoder2-15b,matrix,22,5
starcoder2-15b,matrix,23,5
starcoder2-15b,matrix,24,3
starcoder2-15b,matrix,25,7
starcoder2-15b,matrix,26,2
starcoder2-15b,matrix,27,10
starcoder2-15b,matrix,28,8
starcoder2-15b,matrix,29,6
starcoder2-15b,matrix,30,2
starcoder2-15b,matrix,31,7
starcoder2-15b,matrix,32,6
starcoder2-15b,matrix,33,2
starcoder2-15b,matrix,34,2
starcoder2-15b,matrix,35,4
starcoder2-15b,matrix,36,2
starcoder2-15b,matrix,37,3
starcoder2-15b,matrix,38,9
starcoder2-15b,matrix,39,68
starcoder2-3b,matrix,0,2
starcoder2-3b,matrix,1,2
starcoder2-3b,matrix,6,1
starcoder2-3b,matrix,7,2
starcoder2-3b,matrix,8,3
starcoder2-3b,matrix,9,4
starcoder2-3b,matrix,10,2
starcoder2-3b,matrix,11,3
starcoder2-3b,matrix,12,1
starcoder2-3b,matrix,13,4
starcoder2-3b,matrix,14,4
starcoder2-3b,matrix,15,5
starcoder2-3b,matrix,16,3
starcoder2-3b,matrix,17,7
starcoder2-3b,matrix,18,5
starcoder2-3b,matrix,19,7
starcoder2-3b,matrix,20,10
starcoder2-3b,matrix,21,17
starcoder2-3b,matrix,22,10
starcoder2-3b,matrix,23,9
starcoder2-3b,matrix,24,12
starcoder2-3b,matrix,25,9
starcoder2-3b,matrix,26,16
starcoder2-3b,matrix,27,12
starcoder2-3b,matrix,28,24
starcoder2-3b,matrix,29,26
starcoder2-7b,matrix,13,3
starcoder2-7b,matrix,14,5
starcoder2-7b,matrix,15,3
starcoder2-7b,matrix,16,4
starcoder2-7b,matrix,17,10
starcoder2-7b,matrix,18,7
starcoder2-7b,matrix,19,2
starcoder2-7b,matrix,20,10
starcoder2-7b,matrix,21,3
starcoder2-7b,matrix,22,11
starcoder2-7b,matrix,23,12
starcoder2-7b,matrix,24,14
starcoder2-7b,matrix,25,7
starcoder2-7b,matrix,26,15
starcoder2-7b,matrix,27,11
starcoder2-7b,matrix,28,15
starcoder2-7b,matrix,29,11
starcoder2-7b,matrix,30,25
starcoder2-7b,matrix,31,32
codellama-7b,linalg,1,1
codellama-7b,linalg,2,1
codellama-7b,linalg,11,1
codellama-7b,linalg,13,1
codellama-7b,linalg,16,1
codellama-7b,linalg,17,2
codellama-7b,linalg,19,2
codellama-7b,linalg,20,3
codellama-7b,linalg,21,1
codellama-7b,linalg,22,1
codellama-7b,linalg,23,6
codellama-7b,linalg,24,7
codellama-7b,linalg,25,13
codellama-7b,linalg,26,22
codellama-7b,linalg,27,21
codellama-7b,linalg,28,16
codellama-7b,linalg,29,26
codellama-7b,linalg,30,32
codellama-7b,linalg,31,43
deepseek-coder-6.7b-instruct,linalg,7,1
deepseek-coder-6.7b-instruct,linalg,11,1
deepseek-coder-6.7b-instruct,linalg,15,1
deepseek-coder-6.7b-instruct,linalg,16,1
deepseek-coder-6.7b-instruct,linalg,17,2
deepseek-coder-6.7b-instruct,linalg,20,2
deepseek-coder-6.7b-instruct,linalg,21,3
deepseek-coder-6.7b-instruct,linalg,22,2
deepseek-coder-6.7b-instruct,linalg,24,2
deepseek-coder-6.7b-instruct,linalg,25,1
deepseek-coder-6.7b-instruct,linalg,26,4
deepseek-coder-6.7b-instruct,linalg,27,7
deepseek-coder-6.7b-instruct,linalg,28,17
deepseek-coder-6.7b-instruct,linalg,29,21
deepseek-coder-6.7b-instruct,linalg,30,55
deepseek-coder-6.7b-instruct,linalg,31,80
starcoder2-15b,linalg,11,1
starcoder2-15b,linalg,13,1
starcoder2-15b,linalg,14,30
starcoder2-15b,linalg,15,1
starcoder2-15b,linalg,20,1
starcoder2-15b,linalg,21,1
starcoder2-15b,linalg,24,1
starcoder2-15b,linalg,26,1
starcoder2-15b,linalg,27,2
starcoder2-15b,linalg,28,1
starcoder2-15b,linalg,29,2
starcoder2-15b,linalg,30,2
starcoder2-15b,linalg,31,3
starcoder2-15b,linalg,33,1
starcoder2-15b,linalg,34,3
starcoder2-15b,linalg,35,2
starcoder2-15b,linalg,36,3
starcoder2-15b,linalg,37,4
starcoder2-15b,linalg,38,1
starcoder2-15b,linalg,39,139
starcoder2-3b,linalg,1,2
starcoder2-3b,linalg,2,1
starcoder2-3b,linalg,4,3
starcoder2-3b,linalg,6,2
starcoder2-3b,linalg,7,1
starcoder2-3b,linalg,8,1
starcoder2-3b,linalg,9,5
starcoder2-3b,linalg,11,3
starcoder2-3b,linalg,12,5
starcoder2-3b,linalg,13,4
starcoder2-3b,linalg,14,3
starcoder2-3b,linalg,15,2
starcoder2-3b,linalg,16,1
starcoder2-3b,linalg,17,3
starcoder2-3b,linalg,18,9
starcoder2-3b,linalg,19,7
starcoder2-3b,linalg,20,7
starcoder2-3b,linalg,21,5
starcoder2-3b,linalg,22,11
starcoder2-3b,linalg,23,8
starcoder2-3b,linalg,24,10
starcoder2-3b,linalg,25,11
starcoder2-3b,linalg,26,18
starcoder2-3b,linalg,27,25
starcoder2-3b,linalg,28,34
starcoder2-3b,linalg,29,19
starcoder2-7b,linalg,5,3
starcoder2-7b,linalg,8,3
starcoder2-7b,linalg,12,1
starcoder2-7b,linalg,13,2
starcoder2-7b,linalg,14,2
starcoder2-7b,linalg,16,3
starcoder2-7b,linalg,17,4
starcoder2-7b,linalg,18,2
starcoder2-7b,linalg,19,3
starcoder2-7b,linalg,20,2
starcoder2-7b,linalg,21,2
starcoder2-7b,linalg,22,10
starcoder2-7b,linalg,23,11
starcoder2-7b,linalg,24,5
starcoder2-7b,linalg,25,8
starcoder2-7b,linalg,26,5
starcoder2-7b,linalg,27,4
starcoder2-7b,linalg,28,17
starcoder2-7b,linalg,29,28
starcoder2-7b,linalg,30,29
starcoder2-7b,linalg,31,56
