method,model,flip,dep,spec,he,he_plus
Neuron-SFT,SC2-3B,73.7,22.8,12.2,31.1->30.5,27.4->27.4
Neuron-SFT,SC2-7B,73.7,21.1,20.6,36.0->36.0,31.7->32.3
Neuron-SFT,SC2-15B,68.7,29.9,38.0,47.0->44.5,39.0->37.8
Neuron-SFT,DeepSeek,16.7,50.0,80.2,73.8->72.6,65.9->64.6
Neuron-SFT,CodeLlama,23.8,74.6,64.4,32.3->30.5,27.4->25.0
LoRA-DPO,SC2-3B,31.6,1.8,1.3,31.1->0.0,27.4->0.0
LoRA-DPO,SC2-7B,78.9,0.0,1.2,36.0->15.2,31.7->13.4
LoRA-DPO,SC2-15B,86.6,0.0,2.0,47.0->29.3,39.0->25.6
LoRA-DPO,DeepSeek,93.6,0.0,28.1,73.8->75.6,65.9->68.9
LoRA-DPO,CodeLlama,81.0,0.0,46.4,32.3->31.1,27.4->26.2
Neuron-DPO without Specificity-KL,SC2-3B,93.0,0.0,0.4,31.1->31.1,27.4->28.7
Neuron-DPO without Specificity-KL,SC2-7B,78.9,0.0,0.8,36.0->35.4,31.7->30.5
Neuron-DPO without Specificity-KL,SC2-15B,85.1,0.0,0.0,47.0->45.1,39.0->37.2
Neuron-DPO without Specificity-KL,DeepSeek,96.2,0.0,46.3,73.8->75.0,65.9->66.5
Neuron-DPO without Specificity-KL,CodeLlama,87.3,0.0,33.9,32.3->30.5,27.4->25.0
Neuron-DPO with Specificity-KL,SC2-3B,78.9,0.0,85.7,31.1->29.3,27.4->26.8
Neuron-DPO with Specificity-KL,SC2-7B,71.9,7.0,87.7,36.0->35.4,31.7->30.5
Neuron-DPO with Specificity-KL,SC2-15B,71.6,20.9,86.9,47.0->46.3,39.0->39.0
Neuron-DPO with Specificity-KL,DeepSeek,73.1,6.4,92.2,73.8->75.6,65.9->67.1
Neuron-DPO with Specificity-KL,CodeLlama,65.1,0.0,90.4,32.3->34.1,27.4->28.0
